,toi,toipfx,pl_tranmid,pl_trandurh,pl_orbper,pl_trandep,pl_rade,st_teff,st_logg,st_rad,ra,dec,st_pmra,st_pmdec,pl_tranmiderr1,pl_tranmiderr2,pl_orbpererr1,pl_orbpererr2,pl_radeerr1,pl_radeerr2,st_tefferr1,st_tefferr2,st_loggerr1,st_loggerr2,st_raderr1,st_raderr2,st_pmraerr1,st_pmraerr2,st_pmdecerr1,st_pmdecerr2
72,EPIC 201512465.01,EPIC 201512465,2456812.4806,1.128,2.333123,1270.0,2.95,,,0.224,173.5625041,0.7138555,-106.822,-23.5307,0.0019,-0.0021,0.000106,-9.6e-05,0.65,-3.02,,,,,0.026,-0.025,0.441492,-0.441492,0.222722,-0.222722
73,EPIC 201515470.01,EPIC 201515470,2456822.8668,3.72,20.2073,73.5,2.12,,,0.7624,171.2596557,0.7613692,-37.2375,5.47713,0.0058,-0.0063,0.0029,-0.0027,0.29,-0.37,,,,,0.0811,-0.0074,0.051663,-0.051663,0.0351294,-0.0351294
74,EPIC 201516974.01,EPIC 201516974,2456819.8056,17.664,36.7099,,,5069.12,,5.33871,174.3144865,0.782986,-5.19921,-37.5655,0.0098,-0.0095,0.0124,-0.0126,,,63.82,-63.82,,,,,0.0907727,-0.0907727,0.0544637,-0.0544637
75,EPIC 201516974.01,EPIC 201516974,2456819.743,18.73,36.762337,177.0,3.44,4932.0,,0.75,174.3144865,0.782986,-5.19921,-37.5655,,,,,,,,,,,,,0.0907727,-0.0907727,0.0544637,-0.0544637
76,EPIC 201521212.01,EPIC 201521212,2457905.977854,5.3,19.565799,,6.412,4486.0,4.652,0.854,163.715838,0.848677,,,0.009696,-0.010565,0.003584,-0.003788,1.267,-0.96,169.0,-169.0,0.154,-0.154,0.139,-0.119,,,,
77,EPIC 201528215.01,EPIC 201528215,2456816.1536,2.472,6.39916,40.099999999999994,1.48,,,0.7006,172.804304,0.9586366,23.1432,14.9447,0.0053,-0.0056,0.00074,-0.00073,0.12,-0.24,,,,,0.0045,-0.03,0.0500675,-0.0500675,0.0296804,-0.0296804
78,EPIC 201528215.01,EPIC 201528215,2456816.154,2.1,6.3991398,44.900000000000006,1.85,5210.0,,0.8,172.804304,0.9586366,23.1432,14.9447,,,,,,,,,,,,,0.0500675,-0.0500675,0.0296804,-0.0296804
79,EPIC 201534540.01,EPIC 201534540,2456814.491832,3.596,2.72273204,1494.0,,8002.0,3.81097,2.85976,171.6509741,1.055162,-44.1111,-16.8409,,,,,,,118.83,-139.6,0.07447,-0.07457,0.105209,-0.091977,0.117009,-0.117009,0.0789639,-0.0789639
80,EPIC 201541160.01,EPIC 201541160,2457921.463551,2.9,15.695142,,2.028,4270.0,4.719,0.625,163.0590829,1.1547858,14.8112,-156.657,0.003449,-0.002914,0.001569,-0.001715,0.195,-0.168,138.0,-138.0,0.15,-0.15,0.047,-0.043,0.0408536,-0.0408536,0.0370404,-0.0370404
81,EPIC 201543531.01,EPIC 201543531,2456812.5024,1.848,2.48038,11.6,1.44,,,1.27,172.8169888,1.1908377,19.8947,-21.1762,0.0052,-0.0048,0.00028,-0.00031,0.3,-1.27,,,,,0.2,-0.12,0.0812752,-0.0812752,0.055144,-0.055144
