pl_orbper,pl_rade,pl_tranmid,pl_trandep,st_teff,st_rad,st_logg,ra,dec
5.319075,20.0,2456773.95146,0.7124,,2.28,,96.679195,25.2050015
12.86772,71.0,2456777.23945,,6861.0,1.79,4.11,99.3805518,26.7864507
12.866412,61.0,2456777.24074,3.1311,,1.642,,99.3805518,26.7864507
12.866539,22.3,2456777.241,3.01,6066.0,1.18,,99.3805518,26.7864507
1.8461222,19.5,2456773.477,0.965,7536.0,1.82,,98.047519,27.2197459
1.84617,2.14,2456767.9376,,3252.0,0.21,5.08,98.047519,27.2197459
6.6223,,2456777.4417,0.348,5000.0,5.54598,,92.1512224,23.7924451
0.5217136,452.0,2456772.25328,1.4286,,11.27,,92.5914383,27.4454618
11.975818,8.43,2456900.746,7.83,3320.0,0.28,,247.4260725,-29.2017505
11.97495,256.0,2456900.74971,,5200.0,3.4,3.32,247.4260725,-29.2017505
5.9895,2.04,2456899.2199,0.0354,,1.03,,247.9793338,-29.0642073
28.707623,21.2,2456920.11,3.57,5838.0,1.03,,242.8978737,-28.9346559
15.4715,9.2,2456898.8347,,5791.0,1.89,4.005,243.8422245,-28.7802178
15.465691,4.13,2456898.85,0.249,4989.0,0.76,,243.8422245,-28.7802178
15.466674,16.12109089,2456898.8485,,5807.0,1.231429,4.25,243.8422245,-28.7802178
1.4556637,,2456896.637017,2.958,6520.0,1.84406,4.03395,244.2208049,-28.7303903
1.45556515,71.0,2456895.18345,2.7008,,2.043,,244.2208049,-28.7303903
3.3262396,1.16,2456895.376,0.101,3404.0,0.33,,244.0668921,-28.6491427
3.32592848,,2456898.702898,0.091,4017.0,60.6949,,244.0668921,-28.6491427
3.3255,1080.0,2456895.3803,0.1179,,85.0,,244.0668921,-28.6491427
13.1426,200.0,2456906.5997,0.529,,13.9,,249.1644576,-28.4111595
4.474513,8.16881084,2456895.68804,,6081.0,2.221057,3.88,249.1600007,-28.2390752
4.4743465,3.06,2456895.689,0.12,5248.0,0.81,,249.1600007,-28.2390752
4.47471,22.0,2456895.68674,0.173,,2.486,,249.1600007,-28.2390752
2.1989041,46.6,2456896.495,32.4,4938.0,0.75,,245.5479136,-28.1619428
4.1657292,1.86,2456894.444,0.227,3442.0,0.36,,246.5591625,-27.9830801
0.6308,,2456893.2333,5.52,,,,243.3287332,-27.734057
0.2358684,6.1,2456894.53027,0.0754,,1.792,,245.3768295,-27.7061138
12.99109,43.0,2456898.9179,0.602,,4.5,,244.6100128,-27.4570498
1.7359447,1.89,2456895.707,0.043,5354.0,0.84,,250.4531166,-27.3610213
1.8389349,0.837,2456896.018,0.0177,3930.0,0.58,,243.8127455,-27.2622661
1.83916,0.62,2456896.0112,0.01515,,0.48,,243.8127455,-27.2622661
2.032664,1.92,2456895.4333,0.1159,,0.535,,247.1360171,-27.1235298
6.11706,1.76,2456895.0074,0.0976,,0.535,,247.1360171,-27.1235298
1.859017,64.0,2456893.66574,,6842.0,2.03,4.01,239.8792061,-26.604366
1.85872487,,2456897.387822,4.143,6015.0,2.01889,3.87316,239.8792061,-26.604366
1.8590179,30.5,2456895.525,4.44,6244.0,1.33,,239.8792061,-26.604366
